City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
345,Faanui,PF,79.16,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
349,Luwuk,ID,74.75,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
350,Pangkalanbuun,ID,72.39,clear sky,-2.6833,111.6167,Grand Kecubung Hotel
351,Honggang,CN,71.49,overcast clouds,46.4667,124.8667,亚布力滑雪旅游度假区
352,Nabire,ID,79.32,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
353,Porto Novo,BJ,78.62,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
355,Vila Franca Do Campo,PT,70.21,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
356,Praia Da Vitoria,PT,74.75,broken clouds,38.7333,-27.0667,Hotel Branco I
359,Fort Nelson,CA,74.79,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
362,Petropavlovsk-Kamchatskiy,RU,73.99,scattered clouds,53.0452,158.6483,The Hotel Petropavlovsky
366,Peniche,PT,67.73,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
368,Huarmey,PE,66.45,few clouds,-10.0681,-78.1522,Hotel Miramar
369,Pavullo Nel Frignano,IT,71.24,overcast clouds,44.3315,10.835,Hotel Vandelli
373,Shenjiamen,CN,78.66,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
376,Omboue,GA,72.03,broken clouds,-1.5746,9.2618,Hotel Olako
377,Setubal,PT,68.5,clear sky,38.5244,-8.8882,Troia Design Hotel
381,Faya,SA,68.11,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
388,Kirensk,RU,66.4,scattered clouds,57.7853,108.1119,Kirenskiy Plos
389,Verkhniy Baskunchak,RU,73.87,clear sky,48.2256,46.7217,Kombat
390,Tsagan Aman,RU,74.07,few clouds,47.5639,46.7218,Tirupathi
392,Evora,PT,70.74,clear sky,38.5667,-7.9,Hotel M'Ar de Ar Muralhas
398,Port-Gentil,GA,76.96,broken clouds,-0.7193,8.7815,Fengshui Residence
399,Lins,BR,72.46,clear sky,-21.6786,-49.7425,Cristal Palace Hotel
401,Pokrovka,KG,66.97,clear sky,42.3414,78.0056,Gostinitsa Nur-Ordo
406,Salinopolis,BR,79.16,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
407,Isiro,CD,66.27,overcast clouds,2.7739,27.616,Guest House Hewa Bora
412,Piacabucu,BR,72.86,clear sky,-10.4056,-36.4344,Piaçabuçu News
414,Caravelas,BR,70.29,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
415,Mazamari,PE,76.21,few clouds,-11.3258,-74.5308,Hospedaje Ratto
417,Soubre,CI,72.61,overcast clouds,5.7856,-6.6083,Lynd Hotels Soubre
418,Touba,CI,69.42,light rain,8.2833,-7.6833,Hotel de L'Amitié Vraie
419,Labuhan,ID,71.85,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
426,Xuddur,SO,69.49,broken clouds,4.1213,43.8894,Banjanay Hotel
427,Yelizovo,RU,75.34,scattered clouds,53.1873,158.3805,Kamchatskiy Stil' Hostel
428,Pozo Colorado,PY,79.48,overcast clouds,-23.4923,-58.7972,Hospedaje la Amistad
429,Ambanja,MG,67.23,scattered clouds,-13.6833,48.45,Hotel Salama and Fast Food
431,Ribas Do Rio Pardo,BR,77.52,clear sky,-20.4431,-53.7592,Pousada Avenida
433,Shawinigan,CA,77.52,overcast clouds,46.5668,-72.7491,Hotel Gouverneur Shawinigan
434,Angoche,MZ,66.94,light rain,-16.2325,39.9086,Guest House HESADA
435,Katsuura,JP,76.19,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
438,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
439,Nichinan,JP,74.88,clear sky,31.6,131.3667,Guest House Aki
441,Harper,LR,76.23,overcast clouds,4.375,-7.7169,Screensaver
451,Sinnamary,GF,78.73,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
452,Capoterra,IT,79.41,broken clouds,39.1763,8.9718,Ariedo Bed And Breakfast
453,Malakal,SS,68.07,overcast clouds,9.5334,31.6605,Nile Palace Hotel
456,Porangatu,BR,74.79,few clouds,-13.4408,-49.1486,Wembley Park Hotel
457,Bontang,ID,77.56,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
460,Alyangula,AU,67.87,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
465,Erzin,TR,79.0,clear sky,36.9559,36.2,Artemis Otel
469,Lagoa,PT,70.74,broken clouds,39.05,-27.9833,Casa Das Faias
471,Namibe,AO,65.91,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
478,San Carlos Del Zulia,VE,79.21,overcast clouds,9.0,-71.9135,Hotel El Manantial
484,Natal,BR,77.65,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
485,Kota Kinabalu,MY,76.98,few clouds,5.9749,116.0724,Gaya Centre Hotel
488,Loei,TH,65.03,overcast clouds,17.4167,101.5,ไร่สานตม บ้านภูล้อม
493,Saint-Leu,RE,65.23,scattered clouds,-21.15,55.2833,La Caz Oceane
494,Takoradi,GH,76.12,overcast clouds,4.8845,-1.7554,Raybow International Hotel
501,Rwamagana,RW,65.64,overcast clouds,-1.9487,30.4347,Avega East Hostel
512,Kaseda,JP,74.43,clear sky,31.4167,130.3167,Sun Stay Kaseda
516,Olinda,BR,71.33,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
517,Datong,CN,68.29,overcast clouds,40.0936,113.2914,Holiday Inn Datong City Centre
519,Lloro,CO,76.06,overcast clouds,5.4961,-76.5495,aidemi
520,Khargapur,IN,78.1,overcast clouds,24.823,79.144,Non-veg Hotel
522,Cabedelo,BR,77.67,clear sky,-6.9811,-34.8339,Hotel Pigalle
523,Tabou,CI,76.06,overcast clouds,4.423,-7.3528,hotêl doufoulougou
529,Jiexiu,CN,78.03,light rain,37.0244,111.9125,IU Hotel Jinzhong Yuhua Road
531,Prince George,CA,67.44,clear sky,53.9166,-122.753,Canadas Best Value Inn Prince George
537,Bardiyah,LY,77.88,clear sky,31.7561,25.0865,بورتو بردية
540,Jining,CN,77.0,overcast clouds,35.405,116.5814,Yunhe Star Hotel
542,Tuensang,IN,70.34,overcast clouds,26.2833,94.8333,B.W.D Resthouse.
544,Innisfail,AU,70.18,overcast clouds,-17.5333,146.0333,Moondarra Motel
545,Tilaran,CR,71.31,overcast clouds,10.4703,-84.9671,Hotel Cielo Azul Resort
546,Bandarbeyla,SO,77.07,few clouds,9.4942,50.8122,JABIR HOTEL
548,Fairbanks,US,72.09,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
